"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"event_21177-1399680000_7" 2.51238149057564 1.75740043883519 15.6183428979201 88.7841636203576 1 15.6183428979201 88.7841636203576 -3.02586864744358 230.387959184871 0.906542056074766 0.134020618556701
"event_21177-1399680000_8" 5.02157888143407 1.67343884637535 3.28100877034226 38.458266663676 1 3.28100877034226 38.458266663676 -6.15050349252797 763.124840871385 0.906542056074766 0.216494845360825
"event_21177-1399680000_9" 4.75913523242285 2.1665725707002 1.6491262926582 18.8426795696542 1 1.6491262926582 18.8426795696542 -5.79550639376932 716.002987046448 0.892523364485981 0.219895287958115
"event_21267-1400544000_0" 0.878355752301312 -0.426365305610211 -1.13697207570076 32.8381070803248 -1 4.88211628682504 58.7873402319217 -1.13697207570076 32.8381070803248 0.920560747663551 0.111675126903553
"event_21331-1401062400_0" 5.05104080418478 -1.64873056949036 4.75975461598286 10.3137833926422 1 4.75975461598286 10.3137833926422 -6.38552287786528 784.000366315383 0.892523364485981 0.230366492146597
"event_21331-1401062400_1" 5.15742400211019 -1.52571109732102 2.0795116623791 5.99255881291643 1 2.0795116623791 5.99255881291643 -6.50343612127588 812.296151806752 0.892523364485981 0.240837696335079
"event_21331-1401062400_11" 1.0289205769856 -0.708563496958483 -1.34775995529537 43.9857657989323 -1 7.33514348479782 50.965404734342 -1.34775995529537 43.9857657989323 0.892523364485981 0.0942408376963351
"event_21331-1401062400_13" 1.0160100577511 -1.19744793066034 8.93057417160267 30.1765032437278 1 8.93057417160267 30.1765032437278 -1.37298597956086 52.9395623447569 0.892523364485981 0.0732984293193717
"event_21331-1401062400_14" 0.0639640940465266 -0.191329518858021 -0.181407085308999 1.38344501692776 -1 0.880336306990388 3.8346304034018 -0.181407085308999 1.38344501692776 0.88785046728972 0.0421052631578948
"event_21331-1401062400_15" 0.711555004433057 -0.125246734674691 -0.904328925716691 18.8449845122443 -1 5.32876967935282 32.7371867475985 -0.904328925716691 18.8449845122443 0.88785046728972 0.0736842105263158
"event_21331-1401062400_16" 0.481238049590218 0.261926274245001 -0.585271569626553 11.328057770774 -1 3.34267040040898 31.9996196306682 -0.585271569626553 11.328057770774 0.883177570093458 0.0952380952380952
"event_21331-1401062400_18" 0.596595637365313 0.134092612076547 -0.740053603106482 15.2038772868553 -1 3.83771361479865 37.2500742454238 -0.740053603106482 15.2038772868553 0.883177570093458 0.0952380952380952
"event_21331-1401062400_2" 5.06058901315715 -1.66311009100622 3.23485027508872 15.3224457052914 1 3.23485027508872 15.3224457052914 -6.38788234488754 791.017942856938 0.892523364485981 0.240837696335079
"event_21331-1401062400_20" 1.78060872350199 -0.339642087748503 9.97644865431598 76.4305646618376 1 9.97644865431598 76.4305646618376 -2.26500261281554 104.37673558792 0.883177570093458 0.116402116402116
"event_21331-1401062400_4" 4.13806992397617 -1.52759479405228 11.7481587180886 75.6068186623337 1 11.7481587180886 75.6068186623337 -5.26910201030195 541.155789912947 0.892523364485981 0.198952879581152
"event_21331-1401062400_5" 3.39464505561346 -1.43600396980908 9.8791236225897 125.534739666237 1 9.8791236225897 125.534739666237 -4.3383237037344 383.764735722438 0.892523364485981 0.198952879581152
"event_21331-1401062400_7" 1.81096706384958 -1.21535090538523 11.9735524496086 59.3089052108041 1 11.9735524496086 59.3089052108041 -2.36973087377393 122.253833305309 0.892523364485981 0.104712041884817
"event_21331-1401062400_9" 1.47485436961047 -1.07391493110898 9.98039799298601 62.4620833805763 1 9.98039799298601 62.4620833805763 -1.93630624343854 86.5541040466009 0.892523364485981 0.104712041884817
"event_21437-1401840000_0" -0.0205374293579426 -0.0292933249142464 0.0265798395891556 0.0920440220545743 1 0.0265798395891556 0.0920440220545743 -0.104078592405883 1.00416487975889 0.789719626168224 0.0591715976331361
"event_21437-1401840000_10" -0.00619154440376148 0.0669117584191228 0.0683054002412853 0.304367893858761 1 0.0683054002412853 0.304367893858761 -0.325705010470792 0.773084516868307 0.794392523364486 0.0235294117647059
"event_21437-1401840000_12" -0.0133963022612783 0.0276557767846554 0.0269283850531392 0.110204725192056 1 0.0269283850531392 0.110204725192056 -0.14535455808726 0.58379579940787 0.794392523364486 0.0352941176470588
"event_21437-1401840000_14" 0.195963545457692 -0.356583389134218 2.65108519184079 0.200515311393524 1 2.65108519184079 0.200515311393524 -0.799713670796346 3.6438463117916 0.794392523364486 0.0117647058823529
"event_21437-1401840000_16" 0.508241433800667 -0.820218429729357 3.85017116045247 13.7838441094128 1 3.85017116045247 13.7838441094128 -0.802829466743153 20.0332478062107 0.789719626168224 0.0591715976331361
"event_21437-1401840000_17" 0.0275891321596315 -0.0034335984093044 -0.03490021699515 0.303999482040265 -1 -0.00428821704593882 1.4261733160523 -0.03490021699515 0.303999482040265 0.728971962616822 0.192307692307692
"event_21437-1401840000_2" -0.0185694999671014 -0.0492681438642275 0.079857155049689 0.315024878350261 1 0.079857155049689 0.315024878350261 -0.183393854977229 0.778600928109482 0.794392523364486 0.0352941176470588
"event_21437-1401840000_4" -0.0416239110081921 0.0927518982109118 0.0848286345779489 0.339892257032807 1 0.0848286345779489 0.339892257032807 -0.442547815232613 2.47378351242393 0.794392523364486 0.0470588235294118
"event_21437-1401840000_6" 0.00331257234697681 0.0983085103364004 0.180593696735318 0.524868319292844 1 0.180593696735318 0.524868319292844 -0.408563470595039 1.040219804432 0.794392523364486 0.0235294117647059
"event_21437-1401840000_8" 0.201524054236934 -0.298926811756798 2.24389375915211 2.80973148702771 1 2.24389375915211 2.80973148702771 -0.345438032220037 3.17799177420936 0.789719626168224 0.0236686390532544
"event_21512-1402272000_0" 2.32654693549049 -0.634123165552768 2.09537437626385 76.9799828977466 1 2.09537437626385 76.9799828977466 -2.9687497090386 180.940695222605 0.817757009345794 0.182857142857143
"event_21512-1402272000_1" 3.58992679738868 -0.905190550990731 1.2394735632222 6.97192945644242 1 1.2394735632222 6.97192945644242 -4.5505362528419 403.213857505182 0.822429906542056 0.204545454545455
"event_21512-1402272000_2" 3.44545546874719 -0.781033674382801 1.29184686277295 7.75271449258986 1 1.29184686277295 7.75271449258986 -4.37659049472898 369.263112679804 0.817757009345794 0.194285714285714
"event_21512-1402272000_3" 3.61153311337323 -0.993842990514557 1.29075249264434 8.16466131442255 1 1.29075249264434 8.16466131442255 -4.57973520793002 412.165313338944 0.822429906542056 0.215909090909091
"event_21512-1402272000_4" 0.517287991888488 -0.258251230494914 -0.670137892587404 9.94701328783491 -1 3.60474305127355 11.9805126888867 -0.670137892587404 9.94701328783491 0.817757009345794 0.0457142857142857
"event_21512-1402272000_5" 0.362333832162511 0.0253801914076032 3.36051384446575 3.91800095139218 1 3.36051384446575 3.91800095139218 -0.453721310071977 4.18373802093396 0.817757009345794 0.0228571428571429
"event_21597-1402963200_0" 0.883475085643555 -0.836351819810769 5.27201324201169 10.5516047174743 1 5.27201324201169 10.5516047174743 -1.17456765184258 34.5115859823867 0.752336448598131 0.062111801242236
"event_21597-1402963200_1" 1.22949666755844 -0.88717945819063 2.80695457453577 27.7417496812737 1 2.80695457453577 27.7417496812737 -1.61356717472228 59.885943176496 0.775700934579439 0.108433734939759
"event_21597-1402963200_11" 0.685291643933572 -0.378305080110702 -0.89053334956139 17.9807615214365 -1 3.50575110937287 20.0120070966423 -0.89053334956139 17.9807615214365 0.799065420560748 0.0701754385964912
"event_21597-1402963200_13" 1.96963135556342 -1.10562563972044 0.994135236066571 32.025004188517 1 0.994135236066571 32.025004188517 -2.55732082067173 140.664287063316 0.799065420560748 0.16374269005848
"event_21597-1402963200_14" 1.38236433333995 -0.265534807056574 0.94528802515878 43.9913171838196 1 0.94528802515878 43.9913171838196 -1.75838923093612 65.0636055422573 0.799065420560748 0.140350877192982
"event_21597-1402963200_15" 1.02158242468925 -0.339662389285917 2.22336887949987 30.9378774380604 1 2.22336887949987 30.9378774380604 -1.31049648742866 37.2058245741329 0.794392523364486 0.117647058823529
"event_21597-1402963200_3" 1.12184014318565 -0.69541730291943 4.47297993528744 20.2369354326223 1 4.47297993528744 20.2369354326223 -1.46361119035062 46.7783433198181 0.775700934579439 0.0843373493975904
"event_21597-1402963200_5" 0.0109744518244925 0.0122960673500765 -0.0138347956112757 0.0220093209998868 -1 0.10034193331035 0.215383043010256 -0.0138347956112757 0.0220093209998868 0.789719626168224 0.0236686390532544
"event_21597-1402963200_7" 0.109534976760517 -0.254527732034904 1.23823200824839 2.01855940909425 1 1.23823200824839 2.01855940909425 -0.265262029356811 2.18179697118929 0.794392523364486 0.0235294117647059
"event_21597-1402963200_9" -0.0102755096456472 -0.0285119829841438 0.0835339555669457 0.0772919720551025 1 0.0835339555669457 0.0772919720551025 -0.145134394576925 0.180694770194781 0.794392523364486 0.0117647058823529
"event_21740-1403827200_0" 2.85181018332072 -0.278949846065081 2.506222725586 27.1664665346451 1 2.506222725586 27.1664665346451 -3.60688440760447 240.292497907911 0.850467289719626 0.131868131868132
"event_21801-1404172800_0" 2.83947634497373 -0.864102700760715 0.702449846597589 27.0293307420826 1 0.702449846597589 27.0293307420826 -3.6303380031445 251.376032658818 0.869158878504673 0.172043010752688
"event_21801-1404172800_1" 0.961146092132118 -0.828621498542719 4.62993230835895 27.3461548047778 1 4.62993230835895 27.3461548047778 -1.27165475997071 38.0447704673743 0.864485981308411 0.0756756756756757
"event_21801-1404172800_10" 0.951384804323426 -0.515154740998731 -1.23555694582824 33.1268874525425 -1 3.77370718082697 35.1090002862949 -1.23555694582824 33.1268874525425 0.85981308411215 0.0869565217391305
"event_21801-1404172800_12" -0.138519505817249 -0.0236599087361249 0.172396056023523 0.425106465625304 1 0.172396056023523 0.425106465625304 -0.673103371115426 9.54934031967291 0.85981308411215 0.0869565217391305
"event_21801-1404172800_14" -0.178604209550147 -0.15220025047118 0.213037826388278 0.546337038741438 1 0.213037826388278 0.546337038741438 -0.107284729319952 15.3930684778318 0.85981308411215 0.119565217391304
"event_21801-1404172800_16" -0.0442886008025225 -0.058577140472278 0.0555651540029317 0.107396948158952 1 0.0555651540029317 0.107396948158952 -0.401952574326998 1.93793709874977 0.864485981308411 0.0432432432432432
"event_21801-1404172800_18" 1.37275663929328 -0.607215429048974 0.408897751594505 58.8079928710313 1 0.408897751594505 58.8079928710313 -1.76985340498241 69.6319951151211 0.864485981308411 0.162162162162162
"event_21801-1404172800_19" 1.85164441434813 -0.839837314375992 7.8813203304128 22.7391822370668 1 7.8813203304128 22.7391822370668 -2.39234645364171 109.748335416198 0.864485981308411 0.0864864864864865
"event_21801-1404172800_2" 0.55875179672816 0.25948593628356 -0.682944979307825 10.8427511330992 -1 4.34152387026167 12.4389897460973 -0.682944979307825 10.8427511330992 0.864485981308411 0.0432432432432432
"event_21801-1404172800_21" 0.081280674896564 -0.23489296819767 -0.235701428300798 2.65676113159191 -1 0.899696383163837 3.71852017491477 -0.235701428300798 2.65676113159191 0.864485981308411 0.0432432432432432
"event_21801-1404172800_23" -0.0137946974739004 -0.0113602521069984 0.0166216468475699 0.0172257427870308 1 0.0166216468475699 0.0172257427870308 -0.127774184147622 0.282394858036278 0.869158878504673 0.021505376344086
"event_21801-1404172800_4" 4.55325810350532e-05 -0.101931014055363 0.199757753663009 0.65757878835386 1 0.199757753663009 0.65757878835386 -0.408563477768853 1.04687193433024 0.864485981308411 0.0216216216216216
"event_21801-1404172800_6" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.864485981308411 0
"event_21801-1404172800_8" -0.0120403755544627 -0.0304488412510686 0.0948090961192134 0.0787902927804303 1 0.0948090961192134 0.0787902927804303 -0.196953729314538 0.215544923892975 0.85981308411215 0.0108695652173914
"event_21930-1405382400_0" 4.78394557484758 -2.78455648007425 3.00532227843629 12.6998401226136 1 3.00532227843629 12.6998401226136 -6.12084337306587 738.157872389678 0.995327102803738 0.215962441314554
"event_21930-1405382400_1" 5.00867207402504 -2.48008039601698 3.05202996921107 16.0878669874246 1 3.05202996921107 16.0878669874246 -6.37863765604057 779.334006542646 0.995327102803738 0.215962441314554
"event_21930-1405382400_2" 1.664641313314 -1.31339300282528 0.903813510004371 5.70558774943231 1 0.903813510004371 5.70558774943231 -2.1931710126334 108.240657678048 0.775700934579439 0.108433734939759
"event_22037-1406592000_0" 3.69003667335273 -1.31876126985258 7.89977622095966 97.2158000696979 1 7.89977622095966 97.2158000696979 -4.70231812089056 429.052418605754 0.920560747663551 0.192893401015228
"event_22037-1406592000_1" 4.25592267001161 -1.03331036738649 0.986413608687508 87.7231707151619 1 0.986413608687508 87.7231707151619 -5.33300925468275 569.748911222806 0.892523364485981 0.261780104712042
"event_22037-1406592000_2" 3.71334973804926 -2.1290994073771 -0.409788915016172 113.36124646583 1 -0.409788915016172 113.36124646583 -4.72155439706081 496.157003486618 0.911214953271028 0.287179487179487
"event_22037-1406592000_3" 5.00542318085336 -1.32012563888738 1.16503412027678 27.8983569291894 1 1.16503412027678 27.8983569291894 -6.27556556656353 760.406124584653 0.925233644859813 0.262626262626263
"event_22037-1406592000_4" 2.41316006910039 -2.16141426558892 5.18069055465429 116.496341379413 1 5.18069055465429 116.496341379413 -3.19331039712474 244.592637972114 0.925233644859813 0.181818181818182
"event_22037-1406592000_5" 2.19318448067884 -1.87810488759756 6.45831990392095 91.9791162815465 1 6.45831990392095 91.9791162815465 -2.89823240625907 194.483463652458 0.925233644859813 0.151515151515151
"event_22182-1409270400_0" 3.56621101365707 -1.57998386070166 5.80959831882277 13.3886222730868 1 5.80959831882277 13.3886222730868 -4.5979912328025 397.954034156716 0.897196261682243 0.15625
"event_22182-1409270400_1" 3.59366129170268 -1.55170112775177 1.71781611802587 15.6800378073746 1 1.71781611802587 15.6800378073746 -4.62928262964794 404.676306019502 0.897196261682243 0.166666666666667
"event_22182-1409270400_2" 3.59796833286186 -1.63360429531674 5.31409771739285 9.45978228747069 1 5.31409771739285 9.45978228747069 -4.64190363476452 406.142261459035 0.897196261682243 0.15625
"event_22182-1409270400_3" 1.64858075094836 -0.751664956883002 7.29380068221852 7.53406683757393 1 7.29380068221852 7.53406683757393 -2.13028445694773 88.8032464992087 0.799065420560748 0.0701754385964912
"event_22242-1409788800_0" 0.0369334910963614 0.0696506999513797 -0.0610846415243415 0.196486682775982 -1 0.425039291574162 0.85535237048631 -0.0610846415243415 0.196486682775982 0.747663551401869 0.025
"event_22242-1409788800_1" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.752336448598131 0
"event_22242-1409788800_10" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.780373831775701 0
"event_22242-1409788800_11" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.780373831775701 0
"event_22242-1409788800_12" -0.0224277861846307 -0.00725121128036816 0.027669036399867 0.0029634433615967 1 0.027669036399867 0.0029634433615967 -0.207791424757931 0.239472756064753 0.780373831775701 0.0119760479041916
"event_22242-1409788800_13" -0.0224277861846307 -0.00725121128036816 0.027669036399867 0.0029634433615967 1 0.027669036399867 0.0029634433615967 -0.207791424757931 0.239472756064753 0.780373831775701 0.0119760479041916
"event_22242-1409788800_15" -0.0665892031743549 0.00199426338547168 0.0838902976293421 0.149048911575064 1 0.0838902976293421 0.149048911575064 -0.413159345495605 3.0167577228395 0.780373831775701 0.0598802395209581
"event_22242-1409788800_17" 0.0638054050151557 0.0879749706389806 -0.0856989584712998 0.332080061524317 -1 0.609001856007344 1.21558927878009 -0.0856989584712998 0.332080061524317 0.780373831775701 0.0239520958083832
"event_22242-1409788800_19" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.780373831775701 0
"event_22242-1409788800_2" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.771028037383178 0
"event_22242-1409788800_20" 2.29359498215096 -1.37587028865103 1.2891654966074 8.82298903511427 1 1.2891654966074 8.82298903511427 -2.98751195816645 188.357508863296 0.780373831775701 0.143712574850299
"event_22242-1409788800_21" -0.0160597289271006 0.00327451793466905 0.0204446422759194 0.0326612944901657 1 0.0204446422759194 0.0326612944901657 -0.135382754281295 0.465844653871188 0.780373831775701 0.0359281437125748
"event_22242-1409788800_23" 2.30904876531911 -1.36888235500333 1.15563808980125 8.14716750471713 1 1.15563808980125 8.14716750471713 -3.00682380460341 190.167778277847 0.780373831775701 0.143712574850299
"event_22242-1409788800_24" 3.15084983491187 -1.81823120506849 1.68168736937465 15.3147472007464 1 1.68168736937465 15.3147472007464 -4.09428092645977 341.762006308788 0.827102803738318 0.169491525423729
"event_22242-1409788800_25" 3.08860460331763 -1.81166723165054 0.0857799091307259 24.0436652611809 1 0.0857799091307259 24.0436652611809 -4.01191278431094 335.474938591446 0.822429906542056 0.193181818181818
