"normals.1" "normals.2" "parameters.Parameter" "parameters.Loss" "parameters.Direction" "loss_function.Parameter1" "loss_function.Loss1" "loss_function.Parameter_1" "loss_function.Loss_1" "weights.w1" "weights.w2"
"55101bdf273a3922478e8ab0" 0.0402588035955992 -0.0145370910701377 -0.836593752520416 0.277102898372194 1 -0.836593752520416 0.277102898372194 1.09448231873091 1.65581371370595 0.909492273730684 0.00485436893203883
"55101bdf273a3922478e8ab2" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.898454746136865 0
"55101bdf273a3922478e8ab4" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.927152317880795 0
"55101bdf273a3922478e8ab6" 0.4445907108763 -1.60014285696206 33.7388559598259 190.013034866404 1 33.7388559598259 190.013034866404 -12.5982542079204 527.173175222915 0.924944812362031 0.0715990453460621
"55101be0273a3922478e8ab8" -0.138700994306069 -0.0634639062062404 -4.2581104970554 1.98201268682102 1 -4.2581104970554 1.98201268682102 2.63965193566518 11.8335056396173 0.916114790286976 0.00963855421686743
"55101be0273a3922478e8aba" 0.0439227967783386 -0.0121654114699227 -0.904511577409393 0.252089879632995 1 -0.904511577409393 0.252089879632995 1.21056631248473 1.86455747558594 0.924944812362031 0.00477326968973746
"55101be0273a3922478e8abc" 0.0265598719844765 0.137145689857661 -2.54649731651216 2.81757893641386 1 -2.54649731651216 2.81757893641386 1.41702064007923 5.16067496237307 0.927152317880795 0.00952380952380949
"55101be0273a3922478e8abe" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.911699779249448 0
"55101be1273a3922478e8ac0" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.920529801324503 0
"55101be1273a3922478e8ac2" -0.0884594012480094 -0.0359995391972151 -2.7019490242064 0.0903167452996758 1 -2.7019490242064 0.0903167452996758 1.69447648605142 4.30784395108132 0.909492273730684 0.00485436893203883
"55101be1273a3922478e8ac4" -16.7465790977218 2.84209020184048 -69.4298946445817 377.454384271728 1 -69.4298946445817 377.454384271728 309.342040853494 127801.880978176 0.933774834437086 0.865248226950355
"55101be1273a3922478e8ac6" -16.9559937077644 2.84580556893583 -65.9398891633873 606.483101683323 1 -65.9398891633873 606.483101683323 305.30142749645 131359.747304605 0.938189845474614 0.88
"55101be2273a3922478e8ac8" -0.0653019833200601 0.306956422872533 -6.96928150913811 2.7027410156128 1 -6.96928150913811 2.7027410156128 2.07040381251757 15.5293176581552 0.975717439293598 0.00904977375565608
"55101be2273a3922478e8aca" -0.117780187723214 0.64270922320671 -13.6260964477925 23.2251628790317 1 -13.6260964477925 23.2251628790317 3.9414712911095 68.1546936814454 0.958057395143488 0.0230414746543779
"55101be2273a3922478e8acc" -0.123456167267931 0.126653643144499 -3.85541785882772 1.37036310462875 1 -3.85541785882772 1.37036310462875 2.7559459387521 11.9507573123736 0.958057395143488 0.00921658986175111
"55101be2273a3922478e8ace" -0.0288644681551571 0.111383358468885 -2.60207682935898 1.02980414574023 1 -2.60207682935898 1.02980414574023 0.864025486360765 2.45187008219082 0.969094922737307 0.00455580865603644
"55101be3273a3922478e8ad0" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.971302428256071 0
"55101be3273a3922478e8ad2" 15.2481632170387 5.73023040353337 57.802988869946 1427.22746309853 1 57.802988869946 1427.22746309853 -277.58032457667 106712.258144719 0.971302428256071 0.727272727272727
"55101be3273a3922478e8ad4" -0.0874692227469906 -0.0390932214041919 -2.68789644463938 0.146105649172513 1 -2.68789644463938 0.146105649172513 1.66852707538324 4.21095742351052 0.969094922737307 0.00455580865603644
"55101be3273a3922478e8ad6" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.973509933774834 0
"55101be3273a3922478e8ad8" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.966887417218543 0
"55101be4273a3922478e8ada" -0.0242834206942426 0.637814678629264 -13.0220094366824 9.30966335160134 1 -13.0220094366824 9.30966335160134 3.09671121567385 56.8535774826461 0.944812362030905 0.0186915887850467
"55101be4273a3922478e8adc" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.955849889624724 0
"55101be4273a3922478e8ade" 0 0 -5278.64034354535 0 1 -5278.64034354535 0 2360.67981052625 0 0.971302428256071 0
"55101be4273a3922478e8ae0" -0.25768946168957 0.437008172861034 -10.9231884009751 15.5902931305501 1 -10.9231884009751 15.5902931305501 6.15623885775694 71.662095623402 0.947019867549669 0.0233100233100233
"55101be5273a3922478e8ae2" -18.1071354192438 0.0884362285044361 -95.3646748221649 540.847090577033 1 -95.3646748221649 540.847090577033 320.981893532485 144564.552767823 0.995584988962472 0.842572062084257
"55101be5273a3922478e8ae4" -0.256264675764035 -0.0443086235689815 5.0178930637619 14.7660204386876 1 5.0178930637619 14.7660204386876 -7.51135555601911 73.1451062042256 0.993377483443709 0.0311111111111111
"55101be5273a3922478e8ae6" -17.7260883177938 -0.221382267087764 -39.3113702361433 2829.79631947312 1 -39.3113702361433 2829.79631947312 307.580798477009 140422.641163204 0.993377483443709 0.862222222222222
"55101be5273a3922478e8ae8" -17.7554516941595 0.218041893336849 -25.8496149803552 4196.12291713656 1 -25.8496149803552 4196.12291713656 294.908521707675 142191.344425265 0.993377483443709 0.897777777777778
"55101be6273a3922478e8aea" -17.7919308270201 0.408290592395412 -130.312908665894 498.700819020615 1 -130.312908665894 498.700819020615 322.193105645585 140055.70010682 0.988962472406181 0.830357142857143
"55101be6273a3922478e8aec" -17.7564441303409 0.0554787475896291 -123.667514373721 330.855978399078 1 -123.667514373721 330.855978399078 318.12683868572 139588.147931825 0.984547461368653 0.834080717488789
"55101be6273a3922478e8aee" -17.6998972989676 -0.0663187799387518 -121.476495496284 365.830418906688 1 -121.476495496284 365.830418906688 319.879961398653 138140.86423046 0.988962472406181 0.825892857142857
"55101be6273a3922478e8af0" 0 0 2360.67981052625 0 1 2360.67981052625 0 -5278.64034354535 0 0.991169977924945 0
"55101be7273a3922478e8af2" 0.0981785189391254 0.0960600098935948 -1.76214333028969 16.3827158069558 -1 3.21983388155773 18.6760931184585 -1.76214333028969 16.3827158069558 0.98233995584989 0.0314606741573034
