"voter_id" "distance"
"mp_Mlad<U+0435>nGru<U+0458>ic" 2.7634250192062
"mp_Mlad<U+0435>nLukic" 5.4046599328983
"mp_MomirSto<U+0458>anovic" 6.87813404361884
"mp_MomoCholakovic" 3.30796670822289
"mp_Muam<U+0435>rDrBach<U+0435>vats" 12.9927515450087
"mp_Mu<U+0458>oMukovic" 4.84375456320959
"mp_M<U+0435>hoOm<U+0435>rovic" 5.33973858682093
"mp_NadaLazic" 26.9160907251809
"mp_NaditsaNikolicTanasi<U+0458><U+0435>vic" 5.81788720421867
"mp_NatashaVuchkovic" 28.5038447260472
"mp_Nikola<U+0408>olovic" 7.45758093605922
"mp_NinoslavDrGiric" 3.53535408689641
"mp_NinoslavDrSto<U+0458>adinovic" 16.7204678650548
"mp_NovitsaTonch<U+0435>v" 8.4298169803787
"mp_N<U+0435>bo<U+0458>shaB<U+0435>ric" 3.48527901856821
"mp_N<U+0435>bo<U+0458>shaProfDrP<U+0435>trovic" 4.14556531429484
"mp_N<U+0435>bo<U+0458>shaTatomir" 2.07939824531771
"mp_N<U+0435>gjo<U+0408>ovanovic" 3.8193053943517
"mp_N<U+0435>nadMilosavlj<U+0435>vic" 3.81730598898806
"mp_N<U+0435>nadMitrovic" 2.13642003809863
"mp_N<U+0435>nadNikolic" 4.8195854132869
"mp_N<U+0435>v<U+0435>naSto<U+0458>anovic" 3.53535408689643
"mp_N<U+0435>v<U+0435>nkaMilosh<U+0435>vic" 4.41467006678952
"mp_ObradDrIsailovic" 8.54988821258299
"mp_OlgitsaBatic" 4.98130042227083
"mp_Oliv<U+0435>raPaulj<U+0435>skic" 5.23803274338471
"mp_Oliv<U+0435>raP<U+0435>shic" 3.23315606803733
"mp_Ol<U+0435>naPapuga" 18.4244917032552
"mp_Pr<U+0435>dragDrMi<U+0458>atovic" 3.35447772435543
"mp_P<U+0435>tarP<U+0435>trovic" 4.93430632782407
"mp_P<U+0435>tarShkundric" 5.48849720050784
"mp_RadmiloKostic" 3.91509467798098
"mp_RadoslavDr<U+0408>ovic" 2.11135478794382
"mp_RizaHalimi" 20.3265854145456
"mp_SabinaDazdar<U+0435>vic" 12.7718951704372
"mp_SanjaNikolic" 3.34532061655773
"mp_SanjaTutsakovic" 3.29730942128126
"mp_SashaMaksimovic" 3.42360525372828
"mp_SashaMirkovic" 0.928685880990723
